Epoch | Train Loss   | Val Loss
------+--------------+---------
    1 |     8.881112 |     8.660391
    2 |     8.668951 |     8.449263
    3 |     8.544847 |     8.356805
    4 |     8.453634 |     8.275001
    5 |     8.353109 |     8.205006
    6 |     8.284510 |     8.146934
    7 |     8.208277 |     8.093378
    8 |     8.114055 |     8.044145
    9 |     8.058887 |     7.981596
   10 |     7.948239 |     7.920177
   11 |     7.935056 |     7.892076
   12 |     7.838886 |     7.849671
   13 |     7.758240 |     7.796739
   14 |     7.676464 |     7.756452
   15 |     7.614748 |     7.731876
   16 |     7.528505 |     7.690006
   17 |     7.488093 |     7.653091
   18 |     7.389739 |     7.616482
   19 |     7.338261 |     7.599386
   20 |     7.338507 |     7.576654
   21 |     7.223434 |     7.550335
   22 |     7.261128 |     7.526894
   23 |     7.152940 |     7.493465
   24 |     7.056723 |     7.463098
   25 |     7.029641 |     7.429363
   26 |     7.035474 |     7.404279
   27 |     6.934543 |     7.367449
   28 |     6.862085 |     7.331759
   29 |     6.824773 |     7.302488
   30 |     6.780157 |     7.294953
   31 |     6.759882 |     7.277048
   32 |     6.659976 |     7.231995
   33 |     6.574625 |     7.228811
   34 |     6.580217 |     7.205956
   35 |     6.474765 |     7.191216
   36 |     6.420888 |     7.198818
   37 |     6.442860 |     7.151345
   38 |     6.388345 |     7.120407
   39 |     6.440078 |     7.161377
   40 |     6.311519 |     7.136424
   41 |     6.269160 |     7.103669
   42 |     6.180047 |     7.083020
   43 |     6.220282 |     7.057700
   44 |     6.127923 |     7.052076
   45 |     6.192874 |     7.022062
   46 |     6.071004 |     6.986729
   47 |     6.084212 |     6.956638
   48 |     6.107499 |     6.969814
   49 |     6.051170 |     6.975314
   50 |     6.059811 |     6.989117
   51 |     6.077605 |     6.966622
   52 |     5.883349 |     6.944576
   53 |     5.835363 |     6.952539
   54 |     5.921063 |     6.933038
   55 |     5.907344 |     6.933547
   56 |     5.920624 |     6.893866
   57 |     5.855821 |     6.899853
   58 |     5.680415 |     6.911642
   59 |     5.813377 |     6.913658
   60 |     5.735041 |     6.894604
   61 |     5.812810 |     6.871340
   62 |     5.651494 |     6.850111
   63 |     5.741611 |     6.862195
   64 |     5.637155 |     6.842699
   65 |     5.610554 |     6.832941
   66 |     5.585434 |     6.821398
   67 |     5.489911 |     6.814175
   68 |     5.618166 |     6.819373
   69 |     5.491762 |     6.793648
   70 |     5.581103 |     6.840147
   71 |     5.583414 |     6.841862
   72 |     5.443468 |     6.808500
   73 |     5.492342 |     6.822380
   74 |     5.523496 |     6.814163
   75 |     5.322833 |     6.799335
   76 |     5.424851 |     6.781292
   77 |     5.348743 |     6.826435
   78 |     5.309585 |     6.835369
   79 |     5.404558 |     6.823345
   80 |     5.446331 |     6.833537
   81 |     5.346809 |     6.815500
   82 |     5.319659 |     6.819503
   83 |     5.395109 |     6.812978
   84 |     5.244001 |     6.755645
   85 |     5.277425 |     6.765097
   86 |     5.266256 |     6.734859
   87 |     5.216468 |     6.747992
   88 |     5.286568 |     6.704919
   89 |     5.200284 |     6.748771
   90 |     5.224492 |     6.752542
   91 |     5.135359 |     6.758590
   92 |     5.182048 |     6.714848
   93 |     5.012029 |     6.738678
   94 |     5.164576 |     6.769008
   95 |     5.201799 |     6.737982
   96 |     5.217759 |     6.747018
   97 |     5.086745 |     6.763978
   98 |     5.050831 |     6.786372
